Date,Close,High,Low,Open,Volume,Ticker
2025-01-17,1063.1500244140625,1069.0,1042.8499755859375,1056.550048828125,33804,SUNDRMFAST
2025-01-20,1072.0999755859375,1085.0,1043.75,1060.0,151658,SUNDRMFAST
2025-01-21,1067.75,1081.9000244140625,1054.6500244140625,1072.449951171875,49771,SUNDRMFAST
2025-01-22,1067.75,1079.949951171875,1052.5,1070.0,63876,SUNDRMFAST
2025-01-23,1080.4000244140625,1102.699951171875,1058.0,1067.75,141522,SUNDRMFAST
2025-01-24,1043.550048828125,1090.4000244140625,1036.949951171875,1080.0,71808,SUNDRMFAST
2025-01-27,1007.5999755859375,1043.550048828125,994.75,1040.4000244140625,99853,SUNDRMFAST
2025-01-28,976.1500244140625,1022.6500244140625,969.4500122070312,1022.4000244140625,135126,SUNDRMFAST
2025-01-29,996.9500122070312,1007.5,971.0,971.0,640476,SUNDRMFAST
2025-01-30,998.6500244140625,1036.4000244140625,994.75,1002.0,932361,SUNDRMFAST
2025-01-31,1044.199951171875,1047.1500244140625,992.0499877929688,1002.0,52354,SUNDRMFAST
2025-02-01,1049.550048828125,1080.0,1031.0,1036.3499755859375,69271,SUNDRMFAST
2025-02-03,1019.2000122070312,1058.0,1013.0499877929688,1048.199951171875,40084,SUNDRMFAST
2025-02-04,1024.25,1040.9000244140625,1008.1500244140625,1027.0,240826,SUNDRMFAST
2025-02-05,1020.7999877929688,1034.0,1010.0,1025.5,93744,SUNDRMFAST
2025-02-06,1045.800048828125,1053.949951171875,1025.0,1030.0999755859375,65714,SUNDRMFAST
2025-02-07,1050.550048828125,1059.949951171875,1034.5999755859375,1042.699951171875,46854,SUNDRMFAST
2025-02-10,1010.5,1059.0,1010.0,1050.550048828125,79755,SUNDRMFAST
2025-02-11,999.8499755859375,1016.9500122070312,994.0,1006.0999755859375,140195,SUNDRMFAST
2025-02-12,981.0999755859375,1002.0999755859375,972.2999877929688,995.9000244140625,149934,SUNDRMFAST
2025-02-13,981.75,1000.6500244140625,975.5,981.9500122070312,76544,SUNDRMFAST
2025-02-14,986.5499877929688,992.4500122070312,971.0,976.0,64702,SUNDRMFAST
2025-02-17,975.4500122070312,991.2000122070312,950.0,986.5499877929688,57773,SUNDRMFAST
2025-02-18,957.5,981.7999877929688,948.0999755859375,976.9500122070312,65799,SUNDRMFAST
2025-02-19,976.4000244140625,988.0,950.0,950.0,89672,SUNDRMFAST
2025-02-20,983.5999755859375,990.7000122070312,966.4000244140625,975.0,27408,SUNDRMFAST
2025-02-21,969.7000122070312,999.0,962.0,983.5999755859375,751366,SUNDRMFAST
2025-02-24,961.0,979.1500244140625,952.0,965.0,39047,SUNDRMFAST
2025-02-25,972.2999877929688,977.5499877929688,951.0,961.0,76598,SUNDRMFAST
2025-02-27,960.0,973.3499755859375,954.9000244140625,965.0,221731,SUNDRMFAST
2025-02-28,933.9000244140625,965.0,920.0499877929688,953.0999755859375,98510,SUNDRMFAST
2025-03-03,928.7999877929688,941.8499755859375,904.0,921.0999755859375,86513,SUNDRMFAST
2025-03-04,917.4000244140625,933.3499755859375,905.6500244140625,920.25,165580,SUNDRMFAST
2025-03-05,921.5499877929688,925.1500244140625,912.7000122070312,923.0,38884,SUNDRMFAST
2025-03-06,950.0999755859375,956.0,928.0,928.0,103758,SUNDRMFAST
2025-03-07,950.1500244140625,964.0,942.3499755859375,964.0,96846,SUNDRMFAST
2025-03-10,950.0,975.4000244140625,941.1500244140625,956.3499755859375,1415367,SUNDRMFAST
2025-03-11,935.0499877929688,949.75,931.5999755859375,946.0,30888,SUNDRMFAST
2025-03-12,932.0999755859375,942.3499755859375,921.6500244140625,941.0,34424,SUNDRMFAST
2025-03-13,920.0499877929688,940.5499877929688,915.75,935.7999877929688,542664,SUNDRMFAST
2025-03-17,903.75,925.9500122070312,893.1500244140625,920.0499877929688,142454,SUNDRMFAST
2025-03-18,903.75,903.75,903.75,903.75,0,SUNDRMFAST
2025-03-19,923.9500122070312,934.0,919.0499877929688,925.0,123906,SUNDRMFAST
2025-03-20,937.1500244140625,945.8499755859375,920.1500244140625,932.75,65773,SUNDRMFAST
2025-03-21,936.5999755859375,945.7999877929688,926.9500122070312,945.7000122070312,102899,SUNDRMFAST
2025-03-24,950.75,964.5,945.2000122070312,954.0,192815,SUNDRMFAST
2025-03-25,945.9000244140625,959.9000244140625,939.4500122070312,959.8499755859375,112428,SUNDRMFAST
2025-03-26,944.9000244140625,955.0,938.5999755859375,946.0,107068,SUNDRMFAST
2025-03-27,906.25,951.0,884.0,937.0,836441,SUNDRMFAST
2025-03-28,913.1500244140625,932.1500244140625,908.5,914.9500122070312,116492,SUNDRMFAST
2025-04-01,903.8499755859375,931.4500122070312,899.9500122070312,919.0999755859375,59316,SUNDRMFAST
2025-04-02,913.0499877929688,929.9500122070312,892.1500244140625,905.0,90784,SUNDRMFAST
2025-04-03,909.7000122070312,914.5999755859375,899.0999755859375,913.0499877929688,53671,SUNDRMFAST
2025-04-04,882.9000244140625,913.2000122070312,878.7999877929688,908.9500122070312,62844,SUNDRMFAST
2025-04-07,850.0499877929688,872.4500122070312,831.1500244140625,863.0499877929688,221810,SUNDRMFAST
2025-04-08,848.5999755859375,870.0,845.0999755859375,862.5499877929688,88007,SUNDRMFAST
2025-04-09,892.6500244140625,927.1500244140625,837.7999877929688,848.9500122070312,1023827,SUNDRMFAST
2025-04-11,886.9500122070312,910.0,876.1500244140625,910.0,253930,SUNDRMFAST
2025-04-15,917.3499755859375,927.2999877929688,879.0499877929688,896.0,1242422,SUNDRMFAST
2025-04-16,924.9000244140625,928.8499755859375,911.0,917.5,80487,SUNDRMFAST
2025-04-17,916.3499755859375,925.2999877929688,910.1500244140625,922.0,32773,SUNDRMFAST
