Date,Close,High,Low,Open,Volume,Ticker
2025-02-17,1717.3499755859375,1720.0,1681.25,1685.199951171875,6469473,HDFCBANK
2025-02-18,1723.050048828125,1731.550048828125,1706.1500244140625,1713.050048828125,8175455,HDFCBANK
2025-02-19,1727.199951171875,1737.9000244140625,1712.449951171875,1717.0,5942056,HDFCBANK
2025-02-20,1687.0999755859375,1714.699951171875,1685.300048828125,1711.0,13195255,HDFCBANK
2025-02-21,1692.5,1694.949951171875,1677.25,1680.9000244140625,7840470,HDFCBANK
2025-02-24,1677.0999755859375,1684.199951171875,1661.0999755859375,1681.0999755859375,10346823,HDFCBANK
2025-02-25,1682.3499755859375,1688.0,1671.0999755859375,1671.0999755859375,12069354,HDFCBANK
2025-02-27,1700.699951171875,1710.75,1682.550048828125,1682.550048828125,17893400,HDFCBANK
2025-02-28,1732.4000244140625,1737.25,1685.0,1685.0,27258364,HDFCBANK
2025-03-03,1701.550048828125,1743.050048828125,1694.0999755859375,1739.800048828125,10602682,HDFCBANK
2025-03-04,1710.0,1714.300048828125,1693.25,1698.0,9960479,HDFCBANK
2025-03-05,1690.0,1710.800048828125,1688.25,1701.949951171875,10791936,HDFCBANK
2025-03-06,1691.199951171875,1699.9000244140625,1672.25,1687.0,16483044,HDFCBANK
2025-03-07,1689.25,1701.1500244140625,1677.5999755859375,1682.0,6686457,HDFCBANK
2025-03-10,1687.5,1699.9000244140625,1683.050048828125,1689.0,7802025,HDFCBANK
2025-03-11,1685.5,1694.0,1670.050048828125,1682.4000244140625,9949215,HDFCBANK
2025-03-12,1711.1500244140625,1718.5,1691.550048828125,1691.550048828125,9392053,HDFCBANK
2025-03-13,1706.5999755859375,1720.800048828125,1700.050048828125,1716.050048828125,7868132,HDFCBANK
2025-03-17,1710.4000244140625,1724.0,1705.0,1705.0,9475326,HDFCBANK
2025-03-18,1710.4000244140625,1710.4000244140625,1710.4000244140625,1710.4000244140625,0,HDFCBANK
2025-03-19,1744.0999755859375,1751.0,1732.199951171875,1735.0,7610703,HDFCBANK
2025-03-20,1768.75,1774.0,1749.300048828125,1754.0,8916989,HDFCBANK
2025-03-21,1770.3499755859375,1774.0999755859375,1755.550048828125,1755.550048828125,16754132,HDFCBANK
2025-03-24,1800.0,1804.4000244140625,1773.6500244140625,1779.0,8696868,HDFCBANK
2025-03-25,1821.449951171875,1843.699951171875,1801.5,1804.9000244140625,19550708,HDFCBANK
2025-03-26,1806.550048828125,1827.5,1802.0,1825.0,12239221,HDFCBANK
2025-03-27,1825.3499755859375,1841.0,1798.0999755859375,1800.0,20829050,HDFCBANK
2025-03-28,1828.199951171875,1836.0,1805.8499755859375,1829.0,14386824,HDFCBANK
2025-04-01,1767.8499755859375,1809.9000244140625,1765.3499755859375,1802.0,14255503,HDFCBANK
2025-04-02,1796.9000244140625,1799.199951171875,1770.699951171875,1770.699951171875,5786782,HDFCBANK
2025-04-03,1794.8499755859375,1804.0,1777.0,1781.0999755859375,5625019,HDFCBANK
2025-04-04,1817.300048828125,1841.949951171875,1811.0999755859375,1813.0,16770227,HDFCBANK
2025-04-07,1757.699951171875,1779.8499755859375,1738.199951171875,1762.800048828125,18997725,HDFCBANK
2025-04-08,1769.1500244140625,1782.0,1750.300048828125,1765.0,17781936,HDFCBANK
2025-04-09,1765.0,1775.0,1753.5,1765.0,11227304,HDFCBANK
2025-04-11,1806.75,1819.4000244140625,1774.75,1774.75,16387883,HDFCBANK
2025-04-15,1864.9000244140625,1876.800048828125,1855.0,1865.0,24649172,HDFCBANK
2025-04-16,1878.0,1883.800048828125,1860.5,1883.800048828125,9568410,HDFCBANK
2025-04-17,1906.699951171875,1919.699951171875,1876.699951171875,1882.0,17851542,HDFCBANK
